Entry,player_name,number_home_matches (from Player),number_away_matches (from Player),Type,Number of Matches,Week,priority_list,Created
Alaeus (Week 1),Alaeus,0,0,,1,1,,3/12/2022 12:07pm
BlazeRol (Week 1),BlazeRol,0,0,,0,1,,3/12/2022 8:08pm
Breadghost (Week 1),Breadghost,0,0,,2,1,,3/12/2022 9:21am
DarkMan (Week 1),DarkMan,0,0,,1,1,,3/13/2022 12:07pm
deathline (Week 1),deathline,0,0,,1,1,,3/12/2022 5:05pm
Derpspace (Week 1),Derpspace,0,0,,2,1,,3/12/2022 10:36am
Despin (Week 1),Despin,0,0,,1,1,,3/12/2022 8:19am
Dex (Week 1),Dex,0,0,,1,1,,3/12/2022 6:50pm
Dingeman (Week 1),Dingeman,0,0,,2,1,,3/13/2022 11:44am
Embouchure (Week 1),Embouchure,0,0,,1,1,,3/12/2022 5:42pm
Erthide (Week 1),Erthide,0,0,,1,1,,3/12/2022 8:10am
gamestabled (Week 1),gamestabled,0,0,,2,1,,3/12/2022 4:05pm
GoogleCheese (Week 1),GoogleCheese,0,0,,2,1,,3/12/2022 9:04am
JJsrl (Week 1),JJsrl,0,0,,1,1,,3/13/2022 4:16pm
jukatox (Week 1),jukatox,0,0,,1,1,,3/12/2022 12:12pm
Libre (Week 1),Libre,0,0,,1,1,,3/13/2022 5:06pm
mae (Week 1),mae,0,0,,0,1,,3/13/2022 3:42pm
mdmason85 (Week 1),mdmason85,0,0,,2,1,,3/12/2022 8:23pm
MrYhatoh (Week 1),MrYhatoh,0,0,,2,1,,3/12/2022 10:04am
peaches (Week 1),peaches,0,0,,2,1,,3/12/2022 9:06pm
Popo (Week 1),Popo,0,0,,1,1,,3/12/2022 5:07pm
Reed (Week 1),Reed,0,0,,2,1,,3/12/2022 5:07pm
RSW (Week 1),RSW,0,0,,1,1,,3/12/2022 8:22am
schmittd (Week 1),schmittd,0,0,,1,1,,3/12/2022 8:24am
SidedWilliams (Week 1),SidedWilliams,0,0,,1,1,,3/13/2022 2:06pm
TanookiMario (Week 1),TanookiMario,0,0,,1,1,,3/13/2022 6:23pm
toburr (Week 1),toburr,0,0,,1,1,,3/13/2022 6:42pm
